match_id,tourney_id,tourney_name,tourney_date,tourney_level,surface,match_num,best_of,round
0,0,Orlando,2000-05-01,A,Clay,1,3.0,R32
1,0,Orlando,2000-05-01,A,Clay,2,3.0,R32
2,0,Orlando,2000-05-01,A,Clay,3,3.0,R32
3,0,Orlando,2000-05-01,A,Clay,4,3.0,R32
4,0,Orlando,2000-05-01,A,Clay,5,3.0,R32
5,0,Orlando,2000-05-01,A,Clay,6,3.0,R32
6,0,Orlando,2000-05-01,A,Clay,7,3.0,R32
7,0,Orlando,2000-05-01,A,Clay,8,3.0,R32
8,0,Orlando,2000-05-01,A,Clay,9,3.0,R32
9,0,Orlando,2000-05-01,A,Clay,10,3.0,R32
10,0,Orlando,2000-05-01,A,Clay,11,3.0,R32
11,0,Orlando,2000-05-01,A,Clay,12,3.0,R32
12,0,Orlando,2000-05-01,A,Clay,13,3.0,R32
13,0,Orlando,2000-05-01,A,Clay,14,3.0,R32
14,0,Orlando,2000-05-01,A,Clay,15,3.0,R32
15,0,Orlando,2000-05-01,A,Clay,16,3.0,R32
16,0,Orlando,2000-05-01,A,Clay,17,3.0,R16
17,0,Orlando,2000-05-01,A,Clay,18,3.0,R16
18,0,Orlando,2000-05-01,A,Clay,19,3.0,R16
19,0,Orlando,2000-05-01,A,Clay,20,3.0,R16
20,0,Orlando,2000-05-01,A,Clay,21,3.0,R16
21,0,Orlando,2000-05-01,A,Clay,22,3.0,R16
22,0,Orlando,2000-05-01,A,Clay,23,3.0,R16
23,0,Orlando,2000-05-01,A,Clay,24,3.0,R16
24,0,Orlando,2000-05-01,A,Clay,25,3.0,QF
25,0,Orlando,2000-05-01,A,Clay,26,3.0,QF
26,0,Orlando,2000-05-01,A,Clay,27,3.0,QF
27,0,Orlando,2000-05-01,A,Clay,28,3.0,QF
28,0,Orlando,2000-05-01,A,Clay,29,3.0,SF
29,0,Orlando,2000-05-01,A,Clay,30,3.0,SF
30,0,Orlando,2000-05-01,A,Clay,31,3.0,F
31,1,Atlanta,2000-04-10,A,Clay,1,3.0,R32
32,1,Atlanta,2000-04-10,A,Clay,2,3.0,R32
33,1,Atlanta,2000-04-10,A,Clay,3,3.0,R32
34,1,Atlanta,2000-04-10,A,Clay,4,3.0,R32
35,1,Atlanta,2000-04-10,A,Clay,5,3.0,R32
36,1,Atlanta,2000-04-10,A,Clay,6,3.0,R32
37,1,Atlanta,2000-04-10,A,Clay,7,3.0,R32
38,1,Atlanta,2000-04-10,A,Clay,8,3.0,R32
39,1,Atlanta,2000-04-10,A,Clay,9,3.0,R32
40,1,Atlanta,2000-04-10,A,Clay,10,3.0,R32
41,1,Atlanta,2000-04-10,A,Clay,11,3.0,R32
42,1,Atlanta,2000-04-10,A,Clay,12,3.0,R32
43,1,Atlanta,2000-04-10,A,Clay,13,3.0,R32
44,1,Atlanta,2000-04-10,A,Clay,14,3.0,R32
45,1,Atlanta,2000-04-10,A,Clay,15,3.0,R32
46,1,Atlanta,2000-04-10,A,Clay,16,3.0,R32
47,1,Atlanta,2000-04-10,A,Clay,17,3.0,R16
48,1,Atlanta,2000-04-10,A,Clay,18,3.0,R16
49,1,Atlanta,2000-04-10,A,Clay,19,3.0,R16
50,1,Atlanta,2000-04-10,A,Clay,20,3.0,R16
51,1,Atlanta,2000-04-10,A,Clay,21,3.0,R16
52,1,Atlanta,2000-04-10,A,Clay,22,3.0,R16
53,1,Atlanta,2000-04-10,A,Clay,23,3.0,R16
54,1,Atlanta,2000-04-10,A,Clay,24,3.0,R16
55,1,Atlanta,2000-04-10,A,Clay,25,3.0,QF
56,1,Atlanta,2000-04-10,A,Clay,26,3.0,QF
57,1,Atlanta,2000-04-10,A,Clay,27,3.0,QF
58,1,Atlanta,2000-04-10,A,Clay,28,3.0,QF
59,1,Atlanta,2000-04-10,A,Clay,29,3.0,SF
60,1,Atlanta,2000-04-10,A,Clay,30,3.0,SF
61,1,Atlanta,2000-04-10,A,Clay,31,3.0,F
62,2,London,2000-02-21,A,Hard,1,3.0,R32
63,2,London,2000-02-21,A,Hard,2,3.0,R32
64,2,London,2000-02-21,A,Hard,3,3.0,R32
65,2,London,2000-02-21,A,Hard,4,3.0,R32
66,2,London,2000-02-21,A,Hard,5,3.0,R32
67,2,London,2000-02-21,A,Hard,6,3.0,R32
68,2,London,2000-02-21,A,Hard,7,3.0,R32
69,2,London,2000-02-21,A,Hard,8,3.0,R32
70,2,London,2000-02-21,A,Hard,9,3.0,R32
71,2,London,2000-02-21,A,Hard,10,3.0,R32
72,2,London,2000-02-21,A,Hard,11,3.0,R32
73,2,London,2000-02-21,A,Hard,12,3.0,R32
74,2,London,2000-02-21,A,Hard,13,3.0,R32
75,2,London,2000-02-21,A,Hard,14,3.0,R32
76,2,London,2000-02-21,A,Hard,15,3.0,R32
77,2,London,2000-02-21,A,Hard,16,3.0,R32
78,2,London,2000-02-21,A,Hard,17,3.0,R16
79,2,London,2000-02-21,A,Hard,18,3.0,R16
80,2,London,2000-02-21,A,Hard,19,3.0,R16
81,2,London,2000-02-21,A,Hard,20,3.0,R16
